Voc_(V),Voc_per_cell_(V),Isc_(mA),Jsc_(mA/cm^2),FF_(%),Pmax_(mW),Vmax_(V),Imax_(mA),Apeture_area_(cm^2),MA,FA,I,Br,exposed_time,retained_per,Device_size_type,Transparent_conductive_oxide_type,Electron_transport_layer_type,Sweep_direction,Perovksite_depostion_method,Hole_transport_layer_type,Conductive_electrode_layer,Device_structure,target
1.0071000000000003,1.0071,4.459999999999999,21.33971292,65.7,2.960000000000001,0.7763000000000001,3.8100000000000005,0.20900000000000052,1.0,0.0,3.0,0.0,499.9999999999999,80.0,sub cell (~0.1 cm^2),FTO,c-TiO2/mp-TiO2,nan,spin coating,Spiro-OMeTAD,Au,Mesoscopic,low_efficient
1.1085,1.1085,1.8399999999999999,19.61620469,74.2,1.509999999999998,0.9052,1.6700000000000035,0.09379999999999988,1.0,0.0,2.58,0.42,720.0000000000001,720.0,sub cell (~0.1 cm^2),FTO,c-TiO2/mp-TiO2,nan,spin coating,PTAA,Au,Mesoscopic,moderate_efficient
0.8578999999999999,0.8579,1.6499999999999986,22.75862069,65.8,0.9300000000000068,0.6540000000000001,1.4199999999999982,0.07249999999999979,0.9,0.0,3.0,0.0,1008.0,100.0,sub cell (~0.1 cm^2),FTO,c-TiO2/mp-TiO2,nan,screen printing,No HTL,carbon black/graphite,Mesoscopic,low_efficient
1.0590000000000002,1.0590000000000002,2.3539999999999957,24.64921466,77.0,1.9200000000000017,0.894,2.147999999999998,0.09550000000000036,0.04999999999999999,0.95,2.85,0.14999999999999997,720.0000000000001,720.0,sub cell (~0.1 cm^2),FTO,c-TiO2/mp-TiO2,average,spin coating,PTAA,Au,Mesoscopic,high_efficient
1.09,1.09,20.96,20.60963618,66.8,15.259999999999998,0.879,17.35,1.0170000000000003,1.0,0.0,3.0,0.0,1000.0,97.0,cell ( ~1 cm^2),FTO,C60,reverse,spin coating,NiMgLiO,Ag,Inverted planar,low_efficient
1.1427999999999998,1.1428,22.601,22.59422173,75.7,19.56000000000001,0.9534,20.518,1.0003000000000006,0.15000000000000002,0.81,2.51,0.45,100.0,90.0,cell ( ~1 cm^2),FTO,c-TiO2/mp-TiO2,forward,spin coating,Spiro-OMeTAD,Au,Mesoscopic,moderate_efficient
1.069,1.069,1.791999999999998,24.31478969,76.6,1.4669999999999987,0.897,1.6460000000000008,0.07369999999999965,0.030000000000000027,0.97,2.91,0.08999999999999997,960.0,99.00000000000003,sub cell (~0.1 cm^2),ITO,SnO2,average,spin coating,Spiro-OMeTAD,Au,Planar,moderate_efficient
1.1340000000000001,1.1340000000000001,2.496999999999998,23.7583254,78.0,2.2079999999999984,0.9567999999999999,2.307999999999998,0.1051000000000002,0.15000000000000002,0.81,2.55,0.45,720.0000000000001,720.0,sub cell (~0.1 cm^2),FTO,c-TiO2/mp-TiO2,nan,spin coating,Spiro-OMeTAD,Au,Mesoscopic,high_efficient
1.081,1.081,21.95,21.47749511,78.4,18.61,0.9029999999999999,20.62,1.0220000000000002,0.15000000000000002,0.8499999999999999,2.55,2.55,1000.0,90.0,cell ( ~1 cm^2),FTO,c-TiO2,forward,spin coating,NiMgLiO,Ag,Inverted planar,moderate_efficient
1.0994,1.0994,2.5450000000000017,22.44268078,78.72,2.2140000000000057,0.9348,2.355999999999998,0.11340000000000039,1.0,0.0,3.0,0.0,6.0,85.0,sub cell (~0.1 cm^2),FTO,c-TiO2,reverse,Vacuum assisted deposition,PTAA,Au,Planar,moderate_efficient
1.074,1.074,19.68,19.29411765,75.1,15.889999999999993,0.8709999999999999,18.23,1.02,1.0,0.0,3.0,0.0,1000.0,97.0,cell ( ~1 cm^2),FTO,C60,nan,spin coating,NiMgLiO,Ag,Inverted planar,moderate_efficient
1.1696,1.1696,1.061,21.69734151,79.4,0.9849999999999994,1.0009,0.9849999999999994,0.04889999999999883,0.14,0.81,2.55,0.45,499.9999999999999,90.0,sub cell (~0.1 cm^2),ITO,c-TiO2,reverse,spin coating,Spiro-OMeTAD,Au,Planar,high_efficient
1.1947,1.1947,23.815,21.51115527,75.7,21.543000000000006,0.9785,22.016,1.1071,0.14,0.81,2.55,0.45,499.9999999999999,90.0,cell ( ~1 cm^2),ITO,c-TiO2,reverse,spin coating,Spiro-OMeTAD,Au,Planar,moderate_efficient
3.766,0.9415,162.452,20.48936761,47.20000000000001,288.99,2.3771,121.57399999999998,31.714399999999998,1.0,0.0,3.0,0.0,2000.0,95.0,submodule ( >10 cm^2),FTO,c-TiO2/mp-TiO2,reverse,screen printing,No HTL,Carbon paste,Mesoscopic,low_efficient
1.1320000000000001,1.1320000000000001,3.676499999999999,23.44706633,70.65,2.9405,0.9078,3.238999999999999,0.1567999999999996,0.15000000000000002,0.8499999999999999,2.55,0.45,720.0000000000001,720.0,sub cell (~0.1 cm^2),FTO,c-TiO2/mp-TiO2,average,spin coating,Spiro-OMeTAD,Au,Mesoscopic,moderate_efficient
1.1313,1.1313,1.6460000000000008,22.98882682,79.1,1.4729999999999919,0.9634,1.5290000000000017,0.07160000000000011,0.15000000000000002,0.8499999999999999,2.55,2.55,800.0,70.0,sub cell (~0.1 cm^2),ITO,C60,reverse,spin coating,PTAA,Cu,Planar,high_efficient
1.0103,1.0103,21.337,20.43969729,73.4,0.015810000000001878,1.6953484615384615,16.244438461538458,1.0438999999999998,0.9840000000000001,0.0,3.0,0.0,72.0,75.0,cell ( ~1 cm^2),FTO,c-TiO2/mp-TiO2,nan,spin coating,Spiro-OMeTAD,Au,Mesoscopic,moderate_efficient
1.122,1.122,23.17,22.60487805,75.7,19.68,0.91,21.62,1.025,1.0,0.0,3.0,0.0,499.9999999999999,80.0,cell ( ~1 cm^2),FTO,C60,forward,spin coating,NiMgLiO,Ag,Inverted planar,moderate_efficient
8.36,0.836,73.0,20.20481594,71.5,436.0,6.590000000000001,66.10000000000001,36.13000000000001,1.0,0.0,3.0,0.0,499.9999999999999,90.0,submodule ( >10 cm^2),FTO,c-TiO2/mp-TiO2,forward,pressure processing,Spiro-OMeTAD,Au,Mesoscopic,low_efficient
1.1046999999999998,1.1047,2.3619999999999983,24.96828753,80.3,2.0930000000000035,0.9586,2.182999999999998,0.0945999999999998,0.5,0.5,1.5,1.5,9336.0,93.00000000000003,sub cell (~0.1 cm^2),FTO,c-TiO2/mp-TiO2,average,spin coating,PTAA,Au,Mesoscopic,high_efficient
1.1042999999999998,1.1043,24.463,24.66774226,72.3,19.522000000000013,0.8772,22.254,0.9916999999999998,0.5,0.5,1.5,1.5,9336.0,93.00000000000003,cell ( ~1 cm^2),FTO,c-TiO2/mp-TiO2,average,spin coating,PTAA,Au,Mesoscopic,moderate_efficient
1.1099999999999999,1.11,1.7399999999999984,25.12998267,73.5,1.4200000000000017,0.89,1.589999999999998,0.06923999999999975,1.0,0.0,3.0,0.0,792.0,97.0,sub cell (~0.1 cm^2),FTO,c-TiO2,reverse,spin coating,Spiro-OMeTAD,Au,Planar,high_efficient
0.8469999999999998,0.847,17.9,17.76322318,43.75,6.640000000000001,1.6953484615384615,16.244438461538458,1.0077000000000003,1.0,0.0,3.0,0.0,720.0000000000001,720.0,cell ( ~1 cm^2),FTO,c-TiO2/mp-TiO2,nan,spray-coating,Spiro-OMeTAD,Au,Planar,low_efficient
1.1326,1.1326,25.53,21.3729594,74.6,21.55299999999999,0.9285,23.215,1.1944999999999992,0.15000000000000002,0.8499999999999999,2.55,0.45,720.0000000000001,720.0,cell ( ~1 cm^2),FTO,c-TiO2/mp-TiO2,average,spin coating,Spiro-OMeTAD,Au,Mesoscopic,moderate_efficient
1.1278,1.1278,276.735,17.30588839,61.9,193.08,0.8018,240.76399999999998,15.990800000000002,0.15000000000000002,0.8499999999999999,2.55,0.45,720.0000000000001,720.0,submodule ( >10 cm^2),FTO,c-TiO2/mp-TiO2,average,spin coating,Spiro-OMeTAD,Au,Mesoscopic,low_efficient
1.1164,1.1164,1.7699999999999996,24.01628223,78.0,1.5420000000000016,0.9473000000000001,1.6269999999999971,0.07369999999999965,0.15000000000000002,0.8499999999999999,2.55,0.45,720.0000000000001,720.0,sub cell (~0.1 cm^2),ITO,SnO2,average,spin coating,Spiro-OMeTAD,Au,Planar,high_efficient
1.1399999999999997,1.14,2.6200000000000028,24.33361196,75.0,2.240000000000002,0.92,2.4299999999999997,0.10766999999999971,0.85,0.14999999999999997,3.0,0.0,720.0000000000001,98.0,sub cell (~0.1 cm^2),ITO,SnO2,reverse,spin coating,Spiro-OMeTAD,Au,Planar,high_efficient
1.14655,1.14655,22.325,22.03849951,76.855,19.67,0.95835,20.525,1.013,0.11000000000000004,0.89,2.67,0.33,720.0000000000001,720.0,cell ( ~1 cm^2),ITO,C60,average,spin coating,PTAA,Cu,Planar,moderate_efficient
1.1204,1.1204,2.3619999999999983,23.47912525,75.2,1.9889999999999972,0.9255,2.1490000000000027,0.10060000000000002,0.0,0.98,0.5099999999999998,0.0,720.0000000000001,720.0,sub cell (~0.1 cm^2),ITO,SnO2,stablized,spin coating,Spiro-OMeTAD,Au or Ag,Planar,moderate_efficient
1.1268000000000002,1.1268,2.3404999999999987,24.92545261,80.5,2.1219999999999857,0.9710000000000001,2.1839999999999993,0.09389999999999965,0.04999999999999999,0.95,2.85,0.14999999999999997,499.9999999999999,95.0,sub cell (~0.1 cm^2),FTO,c-TiO2/mp-TiO2,reverse,spin coating,Spiro-OMeTAD,Au,Mesoscopic,high_efficient
1.125,1.125,24.7,24.92431887,74.5,20.68,0.904,22.86,0.9910000000000001,0.04999999999999999,0.95,2.85,0.14999999999999997,499.9999999999999,95.0,cell ( ~1 cm^2),FTO,c-TiO2/mp-TiO2,reverse,spin coating,Spiro-OMeTAD,Au,Mesoscopic,high_efficient
5.256,1.0512,45.58,21.60189573,69.0,165.10899999999998,4.1795,39.505,10.55,0.7,0.3,3.0,0.0,528.0,93.00000000000003,submodule ( >10 cm^2),FTO,c-TiO2,average,spin coating,Spiro-OMeTAD,Au,Planar,moderate_efficient
